dc_id,sku_id,mean_sale
DC010,SKU061,0.0
DC010,SKU062,541.5
DC010,SKU063,3694.25
DC010,SKU064,1494.75
DC010,SKU065,621.25
DC010,SKU066,14.25
DC010,SKU067,0.0
DC010,SKU068,3.25
DC010,SKU069,0.0
DC010,SKU070,3.5
DC010,SKU071,1.0
DC010,SKU072,117.75
DC010,SKU073,0.0
DC010,SKU074,77.0
DC010,SKU075,6.5
DC010,SKU076,0.0
DC010,SKU077,45.75
DC010,SKU078,0.25
DC010,SKU079,300.75
DC010,SKU080,0.0
DC010,SKU081,0.0
DC010,SKU082,0.0
DC010,SKU083,580.75
DC010,SKU084,326.75
DC010,SKU085,22.0
DC010,SKU086,0.0
DC010,SKU087,0.0
DC010,SKU088,0.0
DC010,SKU089,0.0
DC010,SKU090,0.0
DC010,SKU091,41.25
DC010,SKU092,85.75
DC010,SKU093,0.0
DC010,SKU094,0.0
DC010,SKU095,0.0
DC010,SKU096,0.0
DC010,SKU097,51.25
DC010,SKU098,15.25
DC010,SKU099,235.0
DC010,SKU100,173.5
DC010,SKU101,52.25
DC010,SKU102,15.0
DC010,SKU103,0.0
DC010,SKU104,0.0
DC011,SKU001,0.0
DC011,SKU002,0.0
DC011,SKU003,0.0
DC011,SKU004,0.0
DC011,SKU005,0.0
DC011,SKU006,0.0
DC011,SKU007,20.0
DC011,SKU008,232.75
DC011,SKU009,0.0
DC011,SKU010,13.0
DC011,SKU011,0.0
DC011,SKU012,0.0
DC011,SKU013,11.5
DC011,SKU014,0.0
DC011,SKU015,0.0
DC011,SKU016,0.0
DC011,SKU017,0.0
DC011,SKU018,0.0
DC011,SKU019,15.75
DC011,SKU020,11.0
DC011,SKU021,20.0
DC011,SKU022,0.0
DC011,SKU023,0.0
DC011,SKU024,0.0
DC011,SKU025,0.0
DC011,SKU026,0.0
