dc_id,sku_id,target_doi
DC007,SKU007,164.95397960470498
DC007,SKU008,5.5323837976160615
DC007,SKU009,3.0
DC007,SKU010,8.980733303237598
DC007,SKU011,3.0
DC007,SKU012,6.354481981277573
DC007,SKU013,5.717360374701932
DC007,SKU014,3.0
DC007,SKU015,3.0
DC007,SKU016,3.0
DC007,SKU017,3.0
DC007,SKU018,3.0
DC007,SKU019,6.449537309881712
DC007,SKU020,3.0
DC007,SKU021,3.403358557785534
DC007,SKU022,3.0
DC007,SKU023,3.0
DC007,SKU024,3.0
DC007,SKU025,3.0
DC007,SKU026,3.0
DC007,SKU027,3.0
DC007,SKU028,3.0
DC007,SKU029,9.368089412312065
DC007,SKU030,4.292634372411972
DC007,SKU031,5.734589631410513
DC007,SKU032,3.0
DC007,SKU033,6.441421933105933
DC007,SKU034,3.0
DC007,SKU035,2.9950912025476857
DC007,SKU036,4.8019258964741285
DC007,SKU037,3.823157582838301
DC007,SKU038,3.724211966979822
DC007,SKU039,3.0
DC007,SKU040,4.269889365630466
DC007,SKU041,15.171623593806473
DC007,SKU042,3.0
DC007,SKU043,3.0
DC007,SKU044,3.829247280459125
DC007,SKU045,3.1250753365196715
DC007,SKU046,3.0
DC007,SKU047,5.540671463665528
DC007,SKU048,3.0
DC007,SKU049,5.361873455666336
DC007,SKU050,3.0
